[2023-11-28 15:57:45.947] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=4.3932@2054.81, ask=4.34432@2056.424, ts=2023-11-28 21:57:46.066199+00:00)
[2023-11-28 15:57:46.017] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.2771@37976.17, ask=0.276@38021.246, ts=2023-11-28 21:57:46.165720+00:00)
[2023-11-28 15:57:46.021] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.2804@37982.34, ask=0.276@38021.246, ts=2023-11-28 21:57:46.165737+00:00)
[2023-11-28 15:57:46.025] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.2804@37982.34, ask=0.55413@38024.3, ts=2023-11-28 21:57:46.165794+00:00)
[2023-11-28 15:57:46.028] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.2804@37982.34, ask=0.82809@38026.511, ts=2023-11-28 21:57:46.166899+00:00)
[2023-11-28 15:57:46.034] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.2804@37982.34, ask=0.28055@38007.08, ts=2023-11-28 21:57:46.167430+00:00)
[2023-11-28 15:57:50.269] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.2804@37982.34, ask=0.5602@38003.148, ts=2023-11-28 21:57:50.420177+00:00)
[2023-11-28 15:57:50.284] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.27952@37972.21, ask=0.5602@38003.148, ts=2023-11-28 21:57:50.422827+00:00)
[2023-11-28 15:57:59.865] [44621:6383955968] [INFO] [gateway_alpaca -> data] Bar (venue=Venue.ALPACA, symbol=BTC/USD, open=37997.102, high=38004.873, low=37987.679, close=37987.679, volume=0.0, ts=2023-11-28 21:57:00+00:00)
[2023-11-28 15:58:00.697] [44621:6383955968] [INFO] [gateway_alpaca -> data] Bar (venue=Venue.ALPACA, symbol=ETH/USD, open=2056.255, high=2056.255, low=2055.617, close=2055.617, volume=0.0, ts=2023-11-28 21:57:00+00:00)
